DLyfKi8RL0;SxpGvPHAvF;D2u9gbbCZV;fy4fQ413fz;N5ywRWWdJQ;ANf1nD2u4e
q 8q 6V PTnRb Ad E; DDqbAPjD;84;-97;-20;4.81
r;e b2sEM;-64;94;8;-2.71
 w;O 6NcVC2y52 Q l Pl  ;-63;97;89;9.45
vq2g;y L O yf;-79;-51;-27;3.77
qxGdW JUL  V0pyvC;Y0 ;6;17;85;-7.32
j b SwYmIIQt 5LC iT;4vBNhYr WIDMKQ 1  4W;67;64;-48;3.15
ALB q  2 Ws  wX4; iL lqRQpj 70GW UDm;71;-59;69;7.87
14b4h  EKr 7;fK   RdN3vhYk8;-84;-63;-1;9.03
dLlRPnW hRXP;4  Q dX   UFX;36;-100;22;2.63
oDSuS4z ; 8oB12 Ai16;17;32;-83;4.9
vmJHH GA7F  ; 7lss wY  A61IGh5dl;-10;32;27;-6.8
 g6q 5Vb y;Z3wdo4SnHF 2;74;57;-80;7.61
GtdV4 bg KpD0  Ebs;5b k  g zk u;-55;-89;-29;4.11
  MDkr  DKUk5 Sq;G;-60;-84;98;7.78
wd; nyhaCF 6S 3ULzeM ;16;93;44;9.35
O5gJVwS mEl  Az;p1   ju3hPC;-93;16;73;-0.92
 ;LHaV;-69;-29;-72;-4.94
OqHD;cTv rl9u b mt;76;-49;-34;5.88
aT8uuv7SGkhqDOy0;Z;0;-33;99;-6.97
 53eJjsi3  ;2  ;-61;-14;55;2.55
q;P2rUtEQyGJi Shj DE;84;91;78;-3.27
 gjwC hP;Zik;-53;-55;33;6.36
 fUqAFt dS I8mIBo; 7 t  TQ  tW;-25;4;-90;9.81
hjv;S j   GX52e;66;-39;-10;-6.64
GHD doKOQ Cu;e3111aOe;-95;-81;-38;-3.07
 w  W2 xF kY; pCn;-12;31;-71;5.81
 Y; z;63;14;-20;6.73
C Bhx;003J;98;38;93;-2.22
XTC l  ;Il j7zHi5;98;94;72;4.36
G 8p9ItcHId ;B2;42;61;7;-2.03
G2Eehdd;aDCyM LNWWjvKpQ ;47;-97;-10;-8.67
